review_id,image_id,building_id,selection_role,advisory_only,viewed_assets,scene,scope_hint,reference,hohonet,bi,question,tags,priority
R50-011,UwV83HsGsw3_b51c75363db94cc09b68d661fcfcd186,UwV83HsGsw3,seeded_coverage,True,previews/R50-011_original.jpg | previews/R50-011_comparison.jpg,楼梯、电梯前厅与挑空区相连，木墙有高低变化，台阶直接进入可见围护。,疑似与单层闭合约束冲突，待人工,在楼梯侧给出统一高度包络，未表达台阶和挑空的实际多层关系。,楼梯侧增加折返且范围更大，顶边跨越不同高度。,两头近似，但把半高/阶梯状木墙作为连续围护，局部顶边选择不同。,能否在明确墙端/门口截出完整单层空间；若不能，需由您决定范围适用性。,stairs | multi_level | closure_depth,高
R50-012,UwV83HsGsw3_c3d8db2f8817403e88c7d96e96ebd9b6,UwV83HsGsw3,max_disagreement,True,previews/R50-012_original.jpg | previews/R50-012_comparison.jpg,卧室镜面衣柜与外部玻璃门并存，床遮挡右侧墙脚；镜面侧有窄墙端。,可能适用，局部墙端待核,镜柜右缘保留一处窄折返，不将镜中房间扩展为真实空间。,简化镜柜右缘窄折返，其他主边界与GT接近。,两头近似并保留该折返，位置与GT略异。,镜柜右侧折返是否是真实墙厚，还是边框/柜体应简化？,mirror | local_structure | occlusion,中
R50-013,X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35,X7HyMhZNoso,max_disagreement,True,previews/R50-013_original.jpg | previews/R50-013_comparison.jpg,开放式厨房餐厅与客厅连通，橱柜遮挡墙脚，左侧通口两边有墙端。,需核对连通区闭合,中央通口向后包含一小段空间；右側橱柜与主墙关系较简化。,中央通口较简化，右侧柜端新增窄折返，可能受柜体影响。,两头近似，中央通口结构接近GT；范围正确性仍依赖闭合规则。,通往客厅的开口是否应在近端墙端闭合；橱柜后方主墙如何推断？,opening | occlusion | furniture_boundary,高
R50-014,X7HyMhZNoso_f03d055128104fd486151e54c9e4a32a,X7HyMhZNoso,seeded_coverage,True,previews/R50-014_original.jpg | previews/R50-014_comparison.jpg,卧室两处门口较清楚，床椅遮挡部分墙脚，顶面与主墙方向容易辨认。,可能适用，仍待人工,在门口所在墙面闭合，主结构大体匹配。,与GT接近，床旁墙脚和顶边有轻微偏移。,两头近似，未见清晰的结构差异。,确认两处门口闭合与遮挡墙脚；可作本building较清楚样本。,opening | occlusion | low_model_difference,低
R50-015,Z6MFQCViBuw_543e6efcc1e24215b18c4060255a9719,Z6MFQCViBuw,seeded_coverage,True,previews/R50-015_original.jpg | previews/R50-015_comparison.jpg,装饰繁复的展厅，多处通向邻室的门洞，顶棚有密集凹凸装饰，座椅遮挡墙脚。,需核对主顶面与装饰简化,主围护结构与模型接近，顶边选在装饰线附近，墙脚多靠推断。,总体结构接近GT，部分墙脚与顶边位置偏移。,两头近似，主顶边较高、中央墙脚较低，主要体现平面位置差异。,顶棚装饰可否按单主平面简化；开门处是否已按近端闭合？,ceiling_detail | opening | occlusion,中
R50-016,Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06,Z6MFQCViBuw,max_disagreement,True,previews/R50-016_original.jpg | previews/R50-016_comparison.jpg,同一building的华丽展厅，窗帘凹部、家具和装饰线很多，主要墙面可辨。,需核对主顶面简化,主结构与模型相似，右远墙脚被餐桌遮挡。,结构接近GT，远侧顶边及地面边界有位置差。,两头近似，左侧顶边略高，未出现明显额外结构解释。,顶棚装饰按哪个主平面处理；与R50-015可能同房间，需用room标识核实后再谈独立样本。,ceiling_detail | occlusion | possible_same_room,中
R50-017,b8cTxDM8gDG_afc1807e6a1946b79137c1a158526913,b8cTxDM8gDG,max_disagreement,True,previews/R50-017_original.jpg | previews/R50-017_comparison.jpg,开放厨房，两侧连接生活区，大片橱柜遮住真实墙面；弧形台面不代表主墙弯曲。,需核对柜体后围护和闭合,包络围绕中央柜组与两侧连通空间，右窄折返结构待核。,大体接近GT，左侧通道截断更细分。,两头在左侧通道给出不同截断深度和角点，其他柜组侧结构相似。,当前空间能否由真实墙端闭合；左侧模型分歧对应实际开口还是橱柜遮挡推断？,opening | furniture_boundary | closure_depth,高
R50-018,b8cTxDM8gDG_bcd82ce0da1846a58f9d97b00e022af2,b8cTxDM8gDG,seeded_coverage,True,previews/R50-018_original.jpg | previews/R50-018_comparison.jpg,白色长走廊，左端壁龛和卧室门、右远端连通；主墙低纹理，少量可见转角。,需核对走廊端部与墙方向,壁龛按统一顶面简化，右远端给出闭合。,与GT结构相似，壁龛宽度和远端位置不同。,两头近似，远端深度及顶边稍异；图中曲线本身不能证明墙是弧形。,远端是否存在明确闭合界线，壁龛是否可按主平面简化？,corridor | low_texture | local_structure,中
R50-019,e9zR4mvMWw7_2224be23a70a475ea6daa55d4c90a91b,e9zR4mvMWw7,max_disagreement,True,previews/R50-019_original.jpg | previews/R50-019_comparison.jpg,厨房与餐厅、客厅连通，橱柜包围相机；门洞、墙端与顶棚梁有多处层次。,优先核对当前空间闭合,包含左侧客厅开口和右侧远空间的窄折返，可能涉及跨房间范围。,左开口被简化，餐区增加局部折点，右柜端较平滑。,两头近似，左开口与右柜端较GT简化，区别主要为范围/结构处理。,能否在近端墙端将厨房与相邻区域分开；顶棚是否仍有统一主平面？,opening | closure_depth | ceiling_detail,高
R50-020,e9zR4mvMWw7_d88c41884dc24efbb5c1b7dcf97998e9,e9zR4mvMWw7,seeded_coverage,True,previews/R50-020_original.jpg | previews/R50-020_comparison.jpg,双床卧室，镜柜及打开门扇并存，主要围护清楚，床后墙脚受遮挡。,可能适用，仍待人工,沿真实镜柜平面和门口闭合，未纳入反射空间或门扇。,与GT接近，部分边缘仅轻微偏移。,两头近似且接近其余边界，可作低差异参照。,确认床后墙脚推断以及镜面所在围护平面。,mirror | occlusion | low_model_difference,低
R50-021,q9vSo1VnCiC_6df6e29f6d1e4495b111d41b2e4e5cb9,q9vSo1VnCiC,max_disagreement,True,previews/R50-021_original.jpg | previews/R50-021_comparison.jpg,门厅两侧连通木梁顶的生活区，中央墙端与开口清楚，但不同区域顶面层次不同。,需先确定当前空间闭合,中央右开口向内折返，包含局部内侧墙；其余模型在该处直接跨过。,简化中央右开口，左通口与GT稍有位置差。,两头近似且与HoHoNet结构相近，不能以三路一致判GT错。,中央右开口应在近端封闭还是纳入内侧墙；两侧生活区是否属于当前标注范围？,opening | closure_depth | ceiling_detail,高
R50-022,q9vSo1VnCiC_a139a1f906394f7a9d5dfc9772836342,q9vSo1VnCiC,seeded_coverage,True,previews/R50-022_original.jpg | previews/R50-022_comparison.jpg,小衣帽间，整面木柜遮挡后墙和地面，门口及对面白墙较清楚。,可能适用，遮挡推断待核,柜后主墙脚与顶边主要靠推断，结构与模型相似。,柜体侧顶边更低、底边更高，可能贴合柜体内部而非围护面。,两头近似，介于GT与HoHoNet之间，柜内横板处出现底边。,柜后墙脚如何从邻接墙与统一地面推断，避免柜内底板作为地板？,furniture_boundary | occlusion,高
R50-023,q9vSo1VnCiC_a823913d661144d4ad3d609e1e085fb1,q9vSo1VnCiC,max_disagreement,True,previews/R50-023_original.jpg | previews/R50-023_comparison.jpg,狭窄门厅与厨房/客厅相连，近景门框墙厚明显，右方客厅顶棚结构不同。,需核对邻室隔离,右侧延伸到客厅远窗，可能超过近端结构开口。,主结构接近GT，近门框宽度与右侧深度略异。,两头近似，同样包含右方客厅；相互一致不能证明范围合规。,右侧是否应在最近的一对墙端闭合，避免把客厅纳入门厅？,opening | closure_depth | ceiling_detail,高
R50-024,q9vSo1VnCiC_cefeb34bd9d04b4dac1189e24191c03f,q9vSo1VnCiC,seeded_coverage,True,previews/R50-024_original.jpg | previews/R50-024_comparison.jpg,带木梁顶的卧室，左侧小凹间、浴室门与露台开口清楚，床和柜挡住墙脚。,需核对凹间与主顶面,左侧凹间保留折返，主顶面沿梁/墙交界估计。,左凹间被简化为连续墙面，其余边界接近。,两头近似，左凹间同样简化；主要差异是保留范围和角点数。,左凹间属于当前房间还是应就近闭合；木梁可否统一按主顶面处理？,local_structure | opening | ceiling_detail,高
R50-025,q9vSo1VnCiC_cf3f1eaf611b4f5f8d13c273359d231b,q9vSo1VnCiC,max_disagreement,True,previews/R50-025_original.jpg | previews/R50-025_comparison.jpg,卧室旁梳妆凹区，正面门通向衣帽间，左侧墙端连卧室，桌椅遮挡墙脚。,需核对局部闭合，整体较清楚,在衣帽门口近端闭合，左墙端较简化。,左墙端增加一处很窄折返，其余接近GT。,enclosed保留左侧窄折返，extended将其简化；差别局限于墙厚处理。,左墙端窄折返是否保留；这些图可能属于同一套房/房间群，需核对room关联。,opening | local_structure | possible_same_room,中
R50-026,q9vSo1VnCiC_e58ef65f48d045e88b119261b96996c9,q9vSo1VnCiC,seeded_coverage,True,previews/R50-026_original.jpg | previews/R50-026_comparison.jpg,木梁卧室靠近浴室移门和梳妆凹间，疑似与R50-024为同房间不同机位。,需核对凹间闭合,将正面梳妆区纳入凹入结构，顶/地边延伸到凹间后壁。,在凹间开口侧直接跨过，形成更简化包络。,两头近似且简化凹间，与GT差异集中在范围选择。,凹间是否在开口墙端闭合；需与R50-024采用同一规则，而非随视角改范围。,opening | closure_depth | possible_same_room,高
R50-027,rPc6DW4iMge_073ce382f78d4a81b8c673591a954997,rPc6DW4iMge,max_disagreement,True,previews/R50-027_original.jpg | previews/R50-027_comparison.jpg,开放厨房客厅，密集格梁顶面，中央门口通走廊，家具遮挡多数墙脚。,需核对主顶面与遮挡外包络,简化为连续主围护并在中央门口闭合，整体范围较一致。,结构接近GT，左右远端和厨房后墙的位置略异。,两头近似，与GT主要为顶边及被遮挡墙脚的位置差。,格梁顶按何主平面处理，厨房柜后和沙发后墙脚是否有足够约束？,ceiling_detail | occlusion,中
R50-028,rPc6DW4iMge_1b4824ffdfc44d08aa648e90241289e4,rPc6DW4iMge,max_disagreement,True,previews/R50-028_original.jpg | previews/R50-028_comparison.jpg,浴室门口近景，门扇贴近墙、镜面反射卧室，浴柜和浴缸遮挡底边。,可能适用，仍待人工,沿浴室近端门口闭合，不延伸入卧室。,主结构接近，浴柜/浴缸侧墙脚略有偏移。,两头近似，与GT结构大体一致，部分顶边略高。,确认门扇后真实墙平面及浴缸后墙脚；不把镜中房间纳入几何。,mirror | occlusion | opening,中
R50-029,rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a,rPc6DW4iMge,seeded_coverage,True,previews/R50-029_original.jpg | previews/R50-029_comparison.jpg,浴室内部，浴缸、玻璃屏和浴柜占据墙脚；疑似R50-028同房间另一机位。,可能适用，仍待人工,按围护墙而非玻璃屏闭合，遮挡区域需要推断。,与GT结构一致，浴缸侧地面线略有偏移。,两头近似，整体差异较小。,浴缸台沿不能代替地板；核实与R50-028的room关联和一致规则。,glass | occlusion | possible_same_room | low_model_difference,中
R50-030,rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598,rPc6DW4iMge,seeded_coverage,True,previews/R50-030_original.jpg | previews/R50-030_comparison.jpg,狭窄走廊正对敞开的卧室门，门框近端清楚，卧室内部和远侧门可见。,需按近端门框闭合,在卧室近端门框处封闭当前走廊。,向门内延伸至卧室，形成额外凹入结构。,enclosed在近端封闭，extended明显进入卧室；双头差异对应范围扩张。,按您当前规则，进入相邻卧室的输出应如何记录为范围偏离；不能仅因Manhattan就视为另一合理答案。,opening | closure_depth | model_structure_difference,高
R50-031,uNb9QFRL6hY_05285f9bc0234526bf0f6362679e38d0,uNb9QFRL6hY,max_disagreement,True,previews/R50-031_original.jpg | previews/R50-031_comparison.jpg,客厅有格梁顶，门口内可见上行台阶；右侧主墙有凸出窄墙端，家具与镜面遮挡部分边界。,需核对顶面与门口闭合,在台阶门口近端闭合，但右侧凸出墙端被简化。,右侧增加窄折返，较接近可见墙端，顶边有偏移。,两头近似并保留右侧折返，主结构与HoHoNet相近。,右侧凸出是否属于主围护；台阶若已被门口隔离，不能仅因可见台阶便排除整图。,local_structure | ceiling_detail | stairs_beyond_opening,高
R50-032,uNb9QFRL6hY_4d422e01951e4c4a9fa3c2d10666a004,uNb9QFRL6hY,seeded_coverage,True,previews/R50-032_original.jpg | previews/R50-032_comparison.jpg,相机在多个门口交汇处，木门扇、近景墙厚和两侧走廊同时可见。,优先明确当前空间,保留近门框两侧窄折返，右侧向走廊延伸。,简化右门框结构，右走廊范围与GT不同。,两头在右侧走廊截断深度显著不同，近门框位置相似。,当前瓷砖区域在每个门口何处闭合；排除门扇后真实墙角是否可确定？,opening | door_leaf | closure_depth,高
R50-033,uNb9QFRL6hY_709c21ff4dfa467cbaa655e84acc7030,uNb9QFRL6hY,seeded_coverage,True,previews/R50-033_original.jpg | previews/R50-033_comparison.jpg,小卫生间，左侧拱形便器凹区、右侧敞门、中央镜面；外包络多数可推断。,需核对便器凹区闭合,在左拱口侧统一封闭，不深入后壁；门口和镜面侧结构简洁。,与GT非常接近，主要为顶边微小偏移。,两头近似且接近其余结构；共同简化需由规则支持。,左拱口属于内部凹位还是应截断开口；镜面仍取实际墙面。,opening | mirror | low_model_difference,中
R50-034,uNb9QFRL6hY_9ec5ebcf3edc44e1ba6dd02e8423e5ed,uNb9QFRL6hY,seeded_coverage,True,previews/R50-034_original.jpg | previews/R50-034_comparison.jpg,疑似与R50-033同卫生间另一机位，门口、便器凹区及镜面均可见。,需与同房间统一规则,左凹区和右开门处均在近端闭合。,与GT结构相似，洗手台侧地面推断略异。,两头近似，几何差异较小。,核实room关联并检查与R50-033是否使用同一闭合规则。,opening | mirror | possible_same_room | low_model_difference,中
R50-035,uNb9QFRL6hY_b98c9460586e4f138658181461df9f51,uNb9QFRL6hY,max_disagreement,True,previews/R50-035_original.jpg | previews/R50-035_comparison.jpg,大浴室，中央玻璃淋浴隔断，外门前有台阶，顶部局部凹顶，镜柜和浴缸遮挡墙脚。,优先核对玻璃隔断和层次,中央玻璃隔断附近形成很近的凸出包络，疑似把屏风边缘并入围护，须人工核实。,跨过玻璃屏按后方围护简化，右门口窄结构仍保留。,两头近似，同样沿后方主墙，区别主要是GT对玻璃屏的处理。,玻璃屏是否属于内部障碍；台阶/凹顶能否在当前闭合范围外或按允许规则简化？,glass | local_structure | multi_level | reference_question,高
R50-036,uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341,uNb9QFRL6hY,max_disagreement,True,previews/R50-036_original.jpg | previews/R50-036_comparison.jpg,长走廊靠近卫生间门口，两侧近墙端有明显转折，右侧门内可见台阶。,需核对墙端与端部闭合,简化了左右近门墙端，整体形状比可见轮廓平滑。,左右近墙端均增加折点，右门口保持近端闭合。,两头近似，保留近墙端，左远端截断与GT不同。,GT是否漏掉真实墙端；远处台阶在门口外，不应自动决定整图范围。,corridor | local_structure | reference_question | stairs_beyond_opening,高
R50-037,wc2JMjhGNzB_25dffb87de434b119296fc0a02ede607,wc2JMjhGNzB,max_disagreement,True,previews/R50-037_original.jpg | previews/R50-037_comparison.jpg,卧室带圆形顶棚凹饰，右侧明确开口通向小过厅和更远大厅。,需按近端开口闭合,右开口按卧室近端墙面闭合。,与GT闭合方式近似，主要边缘位置略异。,两头均延伸到过厅后方门框，和GT/HoHoNet形成明显范围差异。,您规则下是否必须在卧室近端开口闭合；两Bi头相同也可能共同超范围。,opening | closure_depth | ceiling_detail,高
R50-038,wc2JMjhGNzB_3a035012369c4eb58295238d946fbc66,wc2JMjhGNzB,seeded_coverage,True,previews/R50-038_original.jpg | previews/R50-038_comparison.jpg,相机贴近卧室墙与床，远侧开门附近有窄墙端，顶面总体清晰。,可能适用，远端结构待核,远门口保留几处窄折返，局部像素范围较小。,远门口被合并，主包络大体一致。,两头近似，同样简化远端结构；总体低差异不能排除局部规则问题。,远门口折返是真实主墙厚还是门框装饰；贴墙视角是否足够看清？,local_structure | occlusion | opening,中
R50-039,wc2JMjhGNzB_4af5e796d4d348bc9129c41d5b0556cd,wc2JMjhGNzB,max_disagreement,True,previews/R50-039_original.jpg | previews/R50-039_comparison.jpg,儿童活动区，中央开口后可见台阶，左玻璃门与前景墙端相邻，远侧有顶梁。,需核对主墙与开口隔离,左前景额外窄折返，与其他三路较大区别；开口处未进入楼梯空间。,左墙端更简化，其他结构接近GT。,两头近似，均简化左前景折返。,左前景是否存在应保留的实际转角；楼梯可见但已在开口外，需分开判断。,local_structure | reference_question | stairs_beyond_opening,高
R50-040,wc2JMjhGNzB_6dca116f3be44ac89eb68038d832957b,wc2JMjhGNzB,seeded_coverage,True,previews/R50-040_original.jpg | previews/R50-040_comparison.jpg,洗衣/家务间，两侧橱柜挡住墙脚，右门通设备间，顶棚边缘有下凸层次。,需核对主顶面，围护较清楚,在设备门口侧闭合，柜后墙脚主要靠统一地面推断。,与GT接近，右侧底边略有偏移。,两头近似，未见明显额外结构，顶面位置略异。,下凸顶边按哪个主平面处理；柜体底板/台面不能作为地面。,ceiling_detail | occlusion | furniture_boundary | low_model_difference,中
R50-041,wc2JMjhGNzB_7a57d2299f5f4f7a9769f200d21ed9ed,wc2JMjhGNzB,max_disagreement,True,previews/R50-041_original.jpg | previews/R50-041_comparison.jpg,餐厅入口与外门相邻，宽拱梁、墙端、壁龛与大柜体分层明显，植物遮挡墙脚。,需核对拱梁与入口闭合,将入口和餐厅统一为包络，近壁龛/墙端较简化。,最右侧近墙端增加窄折返，主围护接近GT。,两头近似，在入口与餐厅之间保留另一段窄墙结构，顶边位置也不同。,入口和餐厅能否共享单一主顶面；壁龛及墙端哪部分保留？,opening | local_structure | ceiling_detail,高
R50-042,wc2JMjhGNzB_ebf624692bd6472ca94a297ffa1f4c05,wc2JMjhGNzB,seeded_coverage,True,previews/R50-042_original.jpg | previews/R50-042_comparison.jpg,连接厨房、餐厅与长廊的过渡区，每个开口的近端墙厚和地面门槛清楚。,可能适用，闭合示例候选,各开口均在近端封闭，没有沿邻室继续延伸。,与GT近似，主要边界位置差很小。,两头近似，也在近端封闭，可与R50-030/037比较规则一致性。,确认近端封闭与您的规则一致；若确认，可用来说明‘可见邻室但不纳入’。,opening | low_model_difference,低
R50-043,x8F5xyUWy9e_59d9c66f57b14062a49e17e8f1da2151,x8F5xyUWy9e,max_disagreement,True,previews/R50-043_original.jpg | previews/R50-043_comparison.jpg,瓷砖理疗/洗浴房，床遮挡中部墙脚，镜面与开门并存，右侧近墙有局部窄结构。,可能适用，局部结构待核,右近墙/镜边保留窄折返，其他三路多数省略。,右侧结构更简化，远墙底边位置略异。,两头近似，左近墙角有细小差别，右侧折返被简化。,右近墙折返是真实墙体还是镜框/饰面；核实遮挡墙脚。,mirror | local_structure | occlusion,中
R50-044,x8F5xyUWy9e_c66bbecc057b41a8bb2eaa76c6f072a2,x8F5xyUWy9e,seeded_coverage,True,previews/R50-044_original.jpg | previews/R50-044_comparison.jpg,理疗床房间另一机位，左侧打开门扇贴近视线，右侧开门通邻区；疑似与R50-043同房间。,可能适用，门扇处理待核,左侧门扇基本按后方围护简化，右门近端封闭。,左门扇边缘形成额外窄凸出，疑似门扇污染几何。,两头近似且接近GT主结构，没有同样的左门扇凸出。,左门扇后实际墙角在哪里；核对与R50-043的room关联。,door_leaf | opening | possible_same_room,高
R50-045,yqstnuAEVhm_6589ad7a5a0444b59adbf501c0f0fe53,yqstnuAEVhm,max_disagreement,True,previews/R50-045_original.jpg | previews/R50-045_comparison.jpg,相机位于卧室门框附近，左卧室、右走廊及另一卧室同时可见，近墙厚占画面中央。,优先明确当前空间归属,同时包含左卧室与右走廊，近门框处有窄折返。,近门框结构更简化，但同样跨过两侧空间。,两头在近墙厚的角点数量/位置不同，并都包含左卧室。,相机当前空间应按哪侧定义；先确定门框闭合，才能解释模型结构差异。,opening | closure_depth | local_structure,高
R50-046,yqstnuAEVhm_703d93b8575b4c0ba99c285dea126401,yqstnuAEVhm,seeded_coverage,True,previews/R50-046_original.jpg | previews/R50-046_comparison.jpg,浴室入口旁砖墙突出，左侧小过渡区通洗衣房，右侧玻璃淋浴屏与打开门扇可见。,需核对入口闭合与主墙,左入口侧直接闭合，砖墙凸出保留，淋浴屏未单独纳入围护。,左入口向内延伸并增加窄折返，右门扇侧也出现局部凸出。,enclosed较接近GT入口范围；extended在左入口多出延伸/窄墙段；两头右门扇附近均有折点。,入口应在哪对墙端封闭；区分砖墙、玻璃屏和活动门扇。,opening | door_leaf | local_structure,高
R50-047,yqstnuAEVhm_858240c249474a24b753d21b85056f23,yqstnuAEVhm,max_disagreement,True,previews/R50-047_original.jpg | previews/R50-047_comparison.jpg,卧室门口极近，打开门扇占中央，右走廊与对面房间可见；与R50-050可能同卧室。,优先核对近门口闭合,卧室门口近端边界投影靠近画面上下缘，可能由贴近门框的视点造成，不仅凭形状判错。,向右走廊延伸，近框结构与GT不同。,enclosed接近近端封闭；extended明显包含走廊对面墙，新增近框折返。,相机是否仍在卧室内，近门框闭合位置在哪里；验证GT深度而不因投影弯曲直接否定。,opening | closure_depth | door_leaf | possible_same_room,高
R50-048,yqstnuAEVhm_be1f9bddd03847cf964f3b9598c8e5d3,yqstnuAEVhm,max_disagreement,True,previews/R50-048_original.jpg | previews/R50-048_comparison.jpg,衣帽间门口连接楼梯平台，衣柜遮挡左围护，右侧镜面反射走廊，栏杆旁为楼梯空间。,优先核对单层闭合与当前空间,包含衣帽间与平台一侧，镜面侧简化，近门框有多折返。,整体接近，但镜面右缘角点与GT不同。,两头近似，在镜面侧更简化，左衣柜后墙位置有偏移。,是否能在衣帽门框闭合排除楼梯平台；镜中走廊与实际开口须分辨。,opening | mirror | stairs | closure_depth,高
