image_id,condition,trigger,question,numerical_evidence,priority
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,semi,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.105883; n=4; Bi policy=enclosed,high
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.000000; model disagreement=0.124422; n=4; Bi policy=enclosed,high
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.057095; n=4; Bi policy=extended,high
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.053246; n=24; Bi policy=extended,high
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.833333; model disagreement=0.012990; n=4; Bi policy=extended,high
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.059237; n=5; Bi policy=extended,high
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,semi,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.050023; n=4; Bi policy=extended,high
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.009021; model disagreement=0.054172; n=4; Bi policy=extended,high
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.000843; model disagreement=0.061643; n=4; Bi policy=extended,high
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,semi,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.090155; model disagreement=0.014184; n=4; Bi policy=extended,high
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.182028,high
B6ByNegPMKs_8b1abc1b47784d758b9ec1e079160475,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.125824,high
B6ByNegPMKs_bdc0695537064383b5cc5dbcff2a0b99,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=1; Bi heads d_mask=0.003762,high
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.170853,high
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.208805,high
pa4otMbVnkk_56189c4a26dd486d91b853fc8a7ffb6b,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.133670,high
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.372767,high
pa4otMbVnkk_d0777438896f4ba59dc36ba96ebb003f,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.154327,high
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.089386,high
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.078981,high
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.118954,high
rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.166293,high
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.131844,high
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.076255,high
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.062426,high
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.061640,high
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.121050,high
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.147252,high
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.210438,high
yqstnuAEVhm_858240c249474a24b753d21b85056f23,model_only_or_historical,fallback_or_active_range_policy,核对后处理立方体回退是否删除了真实结构；Bi 两头差异是否对应可解释的空间范围，而不是模型错误。,fallback phases=0; Bi heads d_mask=0.241628,high
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,image_portrait,rare_AI_trait,复核近常量 AI 字段的少数反例，并明确连通空间是否指真正可通行空间、门扇开闭或仅可见窗口。,connected=present; low_contrast=present; reflection=absent,medium
7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,image_portrait,rare_AI_trait,复核近常量 AI 字段的少数反例，并明确连通空间是否指真正可通行空间、门扇开闭或仅可见窗口。,connected=present; low_contrast=present; reflection=absent,medium
7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64,image_portrait,rare_AI_trait,复核近常量 AI 字段的少数反例，并明确连通空间是否指真正可通行空间、门扇开闭或仅可见窗口。,connected=present; low_contrast=present; reflection=absent,medium
X7HyMhZNoso_f59aa4dda2024d88ac3f9b22331b475b,image_portrait,rare_AI_trait,复核近常量 AI 字段的少数反例，并明确连通空间是否指真正可通行空间、门扇开闭或仅可见窗口。,connected=absent; low_contrast=absent; reflection=unknown,medium
ZMojNkEp431_1223ee164fc040c0bd13c366f7a22059,image_portrait,rare_AI_trait,复核近常量 AI 字段的少数反例，并明确连通空间是否指真正可通行空间、门扇开闭或仅可见窗口。,connected=unknown; low_contrast=absent; reflection=present,medium
ZMojNkEp431_f1bb3acca4ed4aada739514b1f2a44bd,image_portrait,rare_AI_trait,复核近常量 AI 字段的少数反例，并明确连通空间是否指真正可通行空间、门扇开闭或仅可见窗口。,connected=unknown; low_contrast=absent; reflection=present,medium
pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,image_portrait,rare_AI_trait,复核近常量 AI 字段的少数反例，并明确连通空间是否指真正可通行空间、门扇开闭或仅可见窗口。,connected=present; low_contrast=present; reflection=unknown,medium
pa4otMbVnkk_a390863f6b5f4b9497580c29d4d7bbe9,image_portrait,rare_AI_trait,复核近常量 AI 字段的少数反例，并明确连通空间是否指真正可通行空间、门扇开闭或仅可见窗口。,connected=present; low_contrast=present; reflection=unknown,medium
uNb9QFRL6hY_68efbeec805f437bb3f3421f93fa4f56,image_portrait,rare_AI_trait,复核近常量 AI 字段的少数反例，并明确连通空间是否指真正可通行空间、门扇开闭或仅可见窗口。,connected=unknown; low_contrast=absent; reflection=present,medium
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,image_portrait,AI_resolution_disagreement,人工独立复核低清与原分辨率不一致的字段；保留两版本，不以同一 AI 复核当真值。,"{""reflection_glass"": {""before"": ""unknown"", ""after"": ""present""}}",medium
S9hNv5qa7GM_27869fb0e3414f2687b9580b335ec615,image_portrait,AI_resolution_disagreement,人工独立复核低清与原分辨率不一致的字段；保留两版本，不以同一 AI 复核当真值。,"{""reflection_glass"": {""before"": ""unknown"", ""after"": ""present""}}",medium
b8cTxDM8gDG_055056e12afe42578c6f429bc07159d2,image_portrait,AI_resolution_disagreement,人工独立复核低清与原分辨率不一致的字段；保留两版本，不以同一 AI 复核当真值。,"{""ceiling_boundary"": {""before"": ""present"", ""after"": ""partial""}}",medium
jh4fc5c5qoQ_45b6596b2c8f4336b7293cfd6d910492,image_portrait,AI_resolution_disagreement,人工独立复核低清与原分辨率不一致的字段；保留两版本，不以同一 AI 复核当真值。,"{""reflection_glass"": {""before"": ""unknown"", ""after"": ""present""}}",medium
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,image_portrait,AI_resolution_disagreement,人工独立复核低清与原分辨率不一致的字段；保留两版本，不以同一 AI 复核当真值。,"{""reflection_glass"": {""before"": ""unknown"", ""after"": ""present""}}",medium
uNb9QFRL6hY_3450b3accb584493bf13be8e9554dbea,image_portrait,AI_resolution_disagreement,人工独立复核低清与原分辨率不一致的字段；保留两版本，不以同一 AI 复核当真值。,"{""ceiling_boundary"": {""before"": ""partial"", ""after"": ""present""}}",medium
uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,image_portrait,AI_resolution_disagreement,人工独立复核低清与原分辨率不一致的字段；保留两版本，不以同一 AI 复核当真值。,"{""reflection_glass"": {""before"": ""unknown"", ""after"": ""present""}}",medium
uNb9QFRL6hY_f8acfc899a4c49ddad71fdfcfd899b2f,image_portrait,AI_resolution_disagreement,人工独立复核低清与原分辨率不一致的字段；保留两版本，不以同一 AI 复核当真值。,"{""floor_boundary"": {""before"": ""present"", ""after"": ""partial""}, ""corner_occlusion"": {""before"": ""absent"", ""after"": ""present""}}",medium
wc2JMjhGNzB_52ed6a0219e84a0bb6db8037ae700366,image_portrait,AI_resolution_disagreement,人工独立复核低清与原分辨率不一致的字段；保留两版本，不以同一 AI 复核当真值。,"{""reflection_glass"": {""before"": ""unknown"", ""after"": ""present""}}",medium
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.663043; same-count dispersion=0.135114,high
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=20; point-count disagreement=0.719298; same-count dispersion=0.040999,high
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.728261; same-count dispersion=0.270855,high
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.663043; same-count dispersion=0.090873,high
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=20; point-count disagreement=0.532164; same-count dispersion=0.493807,high
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.869565; same-count dispersion=0.110280,high
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.760870; same-count dispersion=0.049402,high
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,semi,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.722944; same-count dispersion=0.050467,high
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.822511; same-count dispersion=0.126128,high
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.731884; same-count dispersion=0.145413,high
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=23; point-count disagreement=0.758893; same-count dispersion=0.132641,high
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=23; point-count disagreement=0.624506; same-count dispersion=0.051775,high
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.624506; same-count dispersion=0.089527,high
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=23; point-count disagreement=0.845850; same-count dispersion=0.050306,high
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=23; point-count disagreement=0.837945; same-count dispersion=0.073254,high
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=23; point-count disagreement=0.810277; same-count dispersion=0.104061,high
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,semi,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.644269; same-count dispersion=0.035496,high
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=23; point-count disagreement=0.612648; same-count dispersion=0.078898,high
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.826087; same-count dispersion=0.123683,high
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,persistent_point_count_diversity,不同点数是否代表同一范围的不同分段、有效多解、漏点，或跨范围解释？合理单人标法需单列保留。,n=24; point-count disagreement=0.833333; same-count dispersion=0.125397,high
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,multiview_pair,DA3_depth_agreement_despite_rigid_camera_failure,核对两拍摄位置是否存在实际新增可见边界，以及投影候选是否对应真实同一表面。预测深度自一致不等于物理匹配。,pair0001; max same-capture angle=122.595513deg; nadir-excluded <=5% predicted-depth agreement=0.532694,high
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,multiview_pair,DA3_depth_agreement_despite_rigid_camera_failure,核对两拍摄位置是否存在实际新增可见边界，以及投影候选是否对应真实同一表面。预测深度自一致不等于物理匹配。,pair0001; max same-capture angle=122.595513deg; nadir-excluded <=5% predicted-depth agreement=0.532694,high
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,multiview_pair,DA3_depth_agreement_despite_rigid_camera_failure,核对两拍摄位置是否存在实际新增可见边界，以及投影候选是否对应真实同一表面。预测深度自一致不等于物理匹配。,pair0007; max same-capture angle=47.150699deg; nadir-excluded <=5% predicted-depth agreement=0.515104,high
2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf,multiview_pair,DA3_depth_agreement_despite_rigid_camera_failure,核对两拍摄位置是否存在实际新增可见边界，以及投影候选是否对应真实同一表面。预测深度自一致不等于物理匹配。,pair0007; max same-capture angle=47.150699deg; nadir-excluded <=5% predicted-depth agreement=0.515104,high
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,same_point_count_supported_geometric_modes,24人均为8点却形成18人/6人几何簇：核对是否两种合理范围/边界解释、共同偏差或真实操作误差；不能凭多数投票或参考裁决。,complete-linkage d_mask cut0.10; counts18/6; strict finite-mode-mass stability conditional median k11; not formal stopping rule,high
