image_id,条件,用户原tag,原作答人数,有效独立人数,单列无效人数,保留已确认修正数,各簇人数_含单人,总簇数,支持簇数,单人簇数,单人比例,最小LOO_Jaccard,最小80pct子集Jaccard,同点数簇分离需审图,前8人完整后缀比例,至观察窗口支持核心稳定比例,支持核心尾段稳定比例,后四分段新标法率,建议粗类_非最终,判定说明,用户最终粗类,用户裁决原因,簇语义裁决,单人标法裁决
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,,24,24,0,0,13;3;2;2;2;1;1,7,5,2,0.0833333333333,1,,False,0,0.13,0.33,0.0991666666668,,order_partition_or_count_boundary,,,,
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,,24,24,0,0,12;7;2;1;1;1,6,3,3,0.125,0.954545454545,0.866366366366,True,0,0.29,0.49,0.0475000000001,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,,5,5,0,0,2;1;1;1,4,1,3,0.6,1,1,False,0,0.635,0.105,0.45,,short_horizon_or_unconfirmed_multi_pattern,,,,
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,,4,4,0,0,3;1,2,1,1,0.25,1,1,False,0.8,1,0.44,0.2,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,,5,5,0,0,5,1,1,0,0,1,1,False,1,1,0.7,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,,4,4,0,0,3;1,2,1,1,0.25,1,1,False,0.73,1,0.525,0.27,,short_horizon_or_unconfirmed_multi_pattern,,,,
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,,24,24,0,0,13;3;2;2;1;1;1;1,8,4,4,0.166666666667,1,,False,0,0.25,0.41,0.153333333333,,singleton_rich_boundary;not_automatically_difficult,,,,
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,简单,24,23,1,0,5;4;4;2;2;1;1;1;1;1;1,11,5,6,0.260869565217,0.946894409938,0.751202501203,True,0,0.165,0.265,0.215,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,,,,
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,简单,6,6,0,0,2;2;1;1,4,2,2,0.333333333333,1,,False,0,0.28,0,0.385,,short_horizon_or_unconfirmed_multi_pattern,,,,
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,简单,4,4,0,0,2;1;1,3,1,2,0.5,1,,False,0,0.46,0.105,0.46,,short_horizon_or_unconfirmed_multi_pattern,,,,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,,24,24,0,0,6;2;2;2;2;1;1;1;1;1;1;1;1;1;1,15,5,10,0.416666666667,1,1,False,0,0.025,0.165,0.4175,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,,,,
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,,5,5,0,0,3;1;1,3,1,2,0.4,1,,False,0.625,1,0.31,0.4125,,short_horizon_or_unconfirmed_multi_pattern,,,,
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,,6,6,0,0,3;1;1;1,4,1,3,0.5,1,,False,0.515,1,0.445,0.495,,short_horizon_or_unconfirmed_multi_pattern,,,,
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,,5,5,0,0,3;2,2,2,0,0,1,1,False,0.535,0.375,0,0.0525,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,,20,19,1,0,8;4;2;1;1;1;1;1,8,3,5,0.263157894737,0.885964912281,,True,0,0.52,0.145,0.147,,singleton_rich_boundary;not_automatically_difficult,,,,
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,,4,3,1,0,2;1,2,1,1,0.333333333333,1,,False,,,,,,too_few_valid_people,,,,
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,,2,2,0,0,2,1,1,0,0,,,False,,,,,,too_few_valid_people,,,,
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,简单,20,20,0,0,19;1,2,1,1,0.05,0.997368421053,,False,0.095,1,0.945,0,,order_partition_or_count_boundary,,,,
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,,2,2,0,0,2,1,1,0,0,,,False,,,,,,too_few_valid_people,,,,
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,,3,3,0,0,3,1,1,0,0,1,,False,,,,,,too_few_valid_people,,,,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,,5,4,1,0,1;1;1;1,4,0,4,1,,,False,0,0,0,1,,short_horizon_or_unconfirmed_multi_pattern,,,,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,,4,4,0,0,2;1;1,3,1,2,0.5,1,,False,0,0.485,0.135,0.485,,short_horizon_or_unconfirmed_multi_pattern,,,,
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,,5,5,0,0,4;1,2,1,1,0.2,1,,False,0.795,1,0.525,0.205,,short_horizon_or_unconfirmed_multi_pattern,,,,
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,,24,24,0,0,8;4;3;3;2;1;1;1;1,9,5,4,0.166666666667,1,,False,0,0.285,0.54,0.169166666667,,singleton_rich_boundary;not_automatically_difficult,,,,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,,24,24,0,0,14;3;2;1;1;1;1;1,8,3,5,0.208333333333,0.987179487179,0.970888888889,True,0,0.375,0.55,0.0925000000001,,singleton_rich_boundary;not_automatically_difficult,,,,
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,,7,6,1,0,2;2;1;1,4,2,2,0.333333333333,1,,False,0,0.275,0,0.385,,short_horizon_or_unconfirmed_multi_pattern,,,,
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,,4,4,0,0,2;1;1,3,1,2,0.5,1,,False,0,0.465,0.165,0.465,,short_horizon_or_unconfirmed_multi_pattern,,,,
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,,5,5,0,0,2;1;1;1,4,1,3,0.6,1,,False,0,0.57,0.12,0.665,,short_horizon_or_unconfirmed_multi_pattern,,,,
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,,23,23,0,0,21;1;1,3,1,2,0.0869565217391,1,,False,0,1,1,0.0833333333334,,order_partition_or_count_boundary,,,,
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,,5,5,0,0,3;2,2,2,0,0,1,1,False,0.565,0.565,0,0.05,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,困难,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,困难,7,7,0,0,4;2;1,3,2,1,0.142857142857,1,1,False,0.585,0.565,0,0.165,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,困难,20,19,1,0,8;5;2;2;1;1,6,4,2,0.105263157895,1,1,False,0,0.77,0.495,0.071,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,困难,5,5,0,0,2;1;1;1,4,1,3,0.6,1,1,False,0,0.585,0.095,0.645,,short_horizon_or_unconfirmed_multi_pattern,,,,
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,,2,2,0,0,2,1,1,0,0,,,False,,,,,,too_few_valid_people,,,,
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,,24,24,0,0,19;2;1;1;1,5,2,3,0.125,1,1,False,0,0.705,0.81,0.125833333333,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,,5,5,0,0,2;2;1,3,2,1,0.2,0.888888888889,0.869333333333,False,0,0.175,0,0.215,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,,24,24,0,0,18;6,2,2,0,0,0.900724637681,0.54826754386,True,0.005,0.435,0.705,0,,cluster_recovery_under_80pct_subsets_insufficient;not_automatically_difficult,,,,
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,,5,5,0,0,3;1;1,3,1,2,0.4,1,,False,0.47,0.815,0.175,0.3575,,short_horizon_or_unconfirmed_multi_pattern,,,,
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,,4,4,0,0,3;1,2,1,1,0.25,1,,False,0.475,0.69,0.295,0.215,,short_horizon_or_unconfirmed_multi_pattern,,,,
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,简单,5,5,0,0,4;1,2,1,1,0.2,1,1,False,0.75,1,0.645,0.0225,,short_horizon_or_unconfirmed_multi_pattern,,,,
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,简单,4,4,0,0,4,1,1,0,0,1,1,False,1,1,1,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,,5,5,0,0,4;1,2,1,1,0.2,0.95,,False,0.56,1,0.335,0,,short_horizon_or_unconfirmed_multi_pattern,,,,
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,,5,5,0,0,5,1,1,0,0,1,,False,0.64,0.64,0.405,0,,short_horizon_or_unconfirmed_multi_pattern,,,,
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,,5,5,0,0,4;1,2,1,1,0.2,0.95,,False,0.61,0.79,0.35,0,,short_horizon_or_unconfirmed_multi_pattern,,,,
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,,24,24,0,0,14;5;4;1,4,3,1,0.0416666666667,0.979166666667,0.944807370184,False,0,0.285,0.51,0.00333333333334,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,,24,24,0,0,5;3;2;2;2;1;1;1;1;1;1;1;1;1;1,15,5,10,0.416666666667,1,1,False,0,0.145,0.4,0.405,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,,,,
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,,24,24,0,0,14;3;3;1;1;1;1,7,3,4,0.166666666667,0.919270833333,,True,0,0.37,0.63,0.176666666667,,singleton_rich_boundary;not_automatically_difficult,,,,
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,,5,5,0,0,4;1,2,1,1,0.2,1,,False,0.78,1,0.535,0.2075,,short_horizon_or_unconfirmed_multi_pattern,,,,
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,,6,6,0,0,2;2;2,3,3,0,0,0.916666666667,0.898550724638,False,0,0,0,0.06,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,,6,6,0,0,6,1,1,0,0,1,1,False,1,1,0.915,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,简单,24,24,0,0,19;3;2,3,3,0,0,0.986842105263,0.944024334734,True,0,0.485,0.7,0.0025,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,,6,6,0,0,4;2,2,2,0,0,1,1,False,0.685,0.685,0,0.025,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,,24,24,0,0,20;4,2,2,0,0,0.961805555556,0.858179713242,True,0.065,0.74,0.83,0,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,,24,24,0,0,16;7;1,3,2,1,0.0416666666667,0.94246031746,0.754043650794,True,0,0.665,0.8,0.0425000000001,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,,6,6,0,0,4;1;1,3,1,2,0.333333333333,1,,False,0.7,1,0.67,0.1775,,short_horizon_or_unconfirmed_multi_pattern,,,,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,,24,24,0,0,7;5;4;3;1;1;1;1;1,9,4,5,0.208333333333,1,0.986934673367,True,0,0.605,0.825,0.184166666667,,singleton_rich_boundary;not_automatically_difficult,,,,
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,,24,24,0,0,16;6;2,3,3,0,0,0.975,0.916401960784,True,0,0.465,0.63,0.00666666666668,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,semi,,24,23,1,0,17;3;1;1;1,5,2,3,0.130434782609,1,1,False,0,0.965,0.975,0.124166666667,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,,4,4,0,0,2;1;1,3,1,2,0.5,1,,False,0,0.49,0.185,0.25,,short_horizon_or_unconfirmed_multi_pattern,,,,
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,manual,,3,3,0,0,3,1,1,0,0,1,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,manual,,3,3,0,0,3,1,1,0,0,1,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,中等,6,6,0,0,3;3,2,2,0,0,0.75,0.662903225806,True,0.525,0.525,0,0,,short_horizon_or_unconfirmed_multi_pattern,,,,
jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,manual,中等,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,manual,,4,4,0,0,2;1;1,3,1,2,0.5,1,,False,0,0.535,0.185,0.305,,short_horizon_or_unconfirmed_multi_pattern,,,,
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,manual,,2,2,0,0,2,1,1,0,0,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,manual,,4,4,0,0,2;2,2,2,0,0,1,1,False,0,0,0,0,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,,,
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,manual,,4,4,0,0,2;1;1,3,1,2,0.5,1,,False,0,0.435,0.125,0.435,,short_horizon_or_unconfirmed_multi_pattern,,,,
jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,manual,,3,3,0,0,1;1;1,3,0,3,1,,,False,,,,,,too_few_valid_people,,,,
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,,6,6,0,0,6,1,1,0,0,1,1,False,1,1,1,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,manual,,2,1,1,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,manual,,3,3,0,0,2;1,2,1,1,0.333333333333,1,,False,,,,,,too_few_valid_people,,,,
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,manual,,5,5,0,0,5,1,1,0,0,1,1,False,1,1,1,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,manual,,2,2,0,0,2,1,1,0,0,,,False,,,,,,too_few_valid_people,,,,
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,manual,,20,19,1,0,3;2;2;2;1;1;1;1;1;1;1;1;1;1,14,4,10,0.526315789474,0.970588235294,0.905982905983,False,0,0.68,0.235,0.513,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,,,,
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,manual,,2,2,0,0,2,1,1,0,0,,,False,,,,,,too_few_valid_people,,,,
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,manual,,2,2,0,0,1;1,2,0,2,1,,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,manual,,2,2,0,0,2,1,1,0,0,,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,manual,,2,2,0,0,2,1,1,0,0,,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,manual,,3,3,0,0,2;1,2,1,1,0.333333333333,1,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,,6,6,0,0,1;1;1;1;1;1,6,0,6,1,,,False,0,0,0,1,,short_horizon_or_unconfirmed_multi_pattern,,,,
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,manual,中等,3,3,0,0,2;1,2,1,1,0.333333333333,1,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,manual,,5,5,0,0,4;1,2,1,1,0.2,1,,False,0.65,0.845,0.39,0.03,,short_horizon_or_unconfirmed_multi_pattern,,,,
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,semi,,4,4,0,0,1;1;1;1,4,0,4,1,,,False,0,0,0,1,,short_horizon_or_unconfirmed_multi_pattern,,,,
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual,,24,24,0,0,24,1,1,0,0,1,1,False,1,1,1,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,manual,,5,5,0,0,3;1;1,3,1,2,0.4,1,,False,0.34,0.74,0.21,0.4025,,short_horizon_or_unconfirmed_multi_pattern,,,,
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,manual,,5,3,2,0,1;1;1,3,0,3,1,,,False,,,,,,too_few_valid_people,,,,
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,manual,,5,5,0,0,5,1,1,0,0,1,1,False,1,1,0.32,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,,6,6,0,0,6,1,1,0,0,1,1,False,1,1,0.91,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,semi,,4,4,0,0,3;1,2,1,1,0.25,1,1,False,0.795,1,0.47,0.205,,short_horizon_or_unconfirmed_multi_pattern,,,,
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,,24,24,0,1,4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,17,5,12,0.5,0.977272727273,0.89406779661,False,0,0.06,0.275,0.425,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,,,,
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,semi,,24,24,0,0,18;3;2;1,4,3,1,0.0416666666667,0.916666666667,0.697070082041,True,0,0.375,0.625,0.00916666666668,,cluster_recovery_under_80pct_subsets_insufficient;not_automatically_difficult,,,,
