base_task_id,fold,predictor_worker_ids,heldout_worker_ids,predictor_support,heldout_support,manual_predictor_entropy,manual_heldout_entropy,semi_entropy,crossfit_delta_entropy,status,status_zh,calculation
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,A_to_B,1;34,15;37,2,2,,,1.0397207708399179,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,B_to_A,15;37,1;34,2,2,,,1.0397207708399179,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,A_to_B,1;14;30,13;18;35,3,3,1.0986122886681096,1.0986122886681096,1.0397207708399179,-0.058891517828191686,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,B_to_A,13;18;35,1;14;30,3,3,1.0986122886681096,1.0986122886681096,1.0397207708399179,-0.058891517828191686,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,A_to_B,11;33;37,15;34,3,2,0.6365141682948128,,0.5623351446188083,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,B_to_A,15;34,11;33;37,2,3,,0.6365141682948128,0.5623351446188083,-0.07417902367600449,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,A_to_B,11;32;37,15;33,3,2,-0.0,,-0.0,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,B_to_A,15;33,11;32;37,2,3,,-0.0,-0.0,0.0,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,A_to_B,1;2;34,12;30,3,2,-0.0,,-0.0,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,B_to_A,12;30,1;2;34,2,3,,-0.0,-0.0,0.0,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,A_to_B,1;29;36,28;35,3,2,-0.0,,1.3862943611198906,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,B_to_A,28;35,1;29;36,2,3,,-0.0,1.3862943611198906,1.3862943611198906,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,A_to_B,10;14;34,13;18;6,3,3,-0.0,-0.0,0.5623351446188083,0.5623351446188083,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,B_to_A,13;18;6,10;14;34,3,3,-0.0,-0.0,0.5623351446188083,0.5623351446188083,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,A_to_B,12;30;33,27;32,3,2,0.6365141682948128,,-0.0,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,B_to_A,27;32,12;30;33,2,3,,0.6365141682948128,-0.0,-0.6365141682948128,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,A_to_B,10;14;34,13;18;35,3,3,-0.0,-0.0,0.5623351446188083,0.5623351446188083,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,B_to_A,13;18;35,10;14;34,3,3,-0.0,-0.0,0.5623351446188083,0.5623351446188083,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,A_to_B,17;32;8,31;6,3,2,-0.0,,0.5623351446188083,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,B_to_A,31;6,17;32;8,2,3,,-0.0,0.5623351446188083,0.5623351446188083,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,A_to_B,12;28;36,27;30,3,2,-0.0,,0.5004024235381879,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,B_to_A,27;30,12;28;36,2,3,,-0.0,0.5004024235381879,0.5004024235381879,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,A_to_B,10;14;34,13;18;6,3,3,-0.0,-0.0,-0.0,0.0,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,B_to_A,13;18;6,10;14;34,3,3,-0.0,-0.0,-0.0,0.0,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,A_to_B,11;33;37,15;34,3,2,-0.0,,0.5004024235381879,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,B_to_A,15;34,11;33;37,2,3,,-0.0,0.5004024235381879,0.5004024235381879,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,A_to_B,17;32;8,31;33,3,2,0.6365141682948128,,0.5623351446188083,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,B_to_A,31;33,17;32;8,2,3,,0.6365141682948128,0.5623351446188083,-0.07417902367600449,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,A_to_B,1;12;2,11;15;34,3,3,1.0986122886681096,1.0986122886681096,-0.0,-1.0986122886681096,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,B_to_A,11;15;34,1;12;2,3,3,1.0986122886681096,1.0986122886681096,-0.0,-1.0986122886681096,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,A_to_B,10;18;34;8,17;31;6,4,3,0.5623351446188083,0.6365141682948128,0.5004024235381879,-0.1361117447566249,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,B_to_A,17;31;6,10;18;34;8,3,4,0.6365141682948128,0.5623351446188083,0.5004024235381879,-0.06193272108062042,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,A_to_B,17;32;8,31;33,3,2,-0.0,,0.5623351446188083,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,B_to_A,31;33,17;32;8,2,3,,-0.0,0.5623351446188083,0.5623351446188083,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,A_to_B,11;2;37,15;34,3,2,0.6365141682948128,,-0.0,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,B_to_A,15;34,11;2;37,2,3,,0.6365141682948128,-0.0,-0.6365141682948128,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,A_to_B,13;33;8,29;35,3,2,-0.0,,0.5004024235381879,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,B_to_A,29;35,13;33;8,2,3,,-0.0,0.5004024235381879,0.5004024235381879,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,A_to_B,1;2;37,12;34,3,2,0.6365141682948128,,-0.0,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,B_to_A,12;34,1;2;37,2,3,,0.6365141682948128,-0.0,-0.6365141682948128,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
