base_task_id,building_id,task_analysis_class,has_semi_candidate,in_primary_entropy_sample,primary_exclusion_reason,task_final_scope,scope_resolution_status,worker_scope_direction,n_worker_in_scope,n_worker_oos,n_worker_missing,mixed_scope_response,manual_canonical_context_count,semi_canonical_context_count,manual_formal_geometry_k,semi_formal_geometry_k,manual_all_canonical_valid_k,semi_all_canonical_valid_k,semi_review_rows,semi_review_analysis_eligible_rows,semi_review_edit_rate,preannotation_feature_ready,preannotation_feature_exclusion_reason,secondary_analysis_lanes
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual_only_oos,False,False,task_final_scope_oos,oos,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,oos_scope_semantic_uncertainty
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,paired_primary,True,True,,in_scope,resolved,in_scope,3.0,2.0,2.0,True,7,4,5,4,6,4,4,4,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,manual_only_oos,False,False,task_final_scope_oos,oos,resolved,oos,2.0,3.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,oos_scope_semantic_uncertainty
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,paired_primary,True,True,,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,4,5,4,5,4,4,4,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,paired_primary,True,True,,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,4,5,4,5,4,4,4,0.25,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,paired_primary,True,True,,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,5,5,4,5,5,5,4,0.4,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,1.0,False,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,1.0,False,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,1.0,True,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,3.0,2.0,1.0,True,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,4,5,4,5,4,4,4,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,3,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,1.0,False,6,4,5,4,6,4,4,4,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,paired_primary,True,True,,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,5,5,3,5,3,5,4,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,3.0,2.0,1.0,True,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,4,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,1.0,False,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,oos,2.0,3.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,paired_oos,True,False,task_final_scope_oos,oos,resolved,in_scope,4.0,1.0,1.0,True,6,4,0,0,6,4,4,0,0.75,False,missing_feature_or_frozen_model_identity_or_task_identity,oos_scope_semantic_uncertainty
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,4,5,4,5,4,4,4,0.25,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,5,5,4,5,5,5,4,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,3.0,2.0,1.0,True,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,1.0,False,6,4,5,4,6,4,4,4,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,oos,2.0,3.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,5,5,4,5,5,5,4,0.6,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,paired_oos,True,False,task_final_scope_oos,oos,resolved,in_scope,4.0,1.0,0.0,True,5,4,0,0,5,4,4,0,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,oos_scope_semantic_uncertainty
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,3.0,2.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,wc2JMjhGNzB,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,3.0,2.0,1.0,True,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,1.0,False,6,4,5,4,6,4,4,4,0.5,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,2.0,False,7,5,5,4,7,5,5,4,0.6,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,4,5,4,5,4,4,4,0.75,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,4,5,4,5,4,4,4,0.25,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,x8F5xyUWy9e,manual_only_oos,False,False,task_final_scope_oos,oos,resolved,oos,1.0,4.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,oos_scope_semantic_uncertainty
x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,x8F5xyUWy9e,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,5,5,4,5,5,5,4,0.6,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,1.0,False,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,1.0,False,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,yqstnuAEVhm,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,3.0,2.0,1.0,True,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,3.0,2.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,,,,,,23,0,0,0,23,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,paired_primary,True,True,,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,4,5,4,5,4,4,4,0.25,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,oos,2.0,3.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
