variable_en,variable_zh,meaning_zh,approximate_formula
task_centered_n_pairs,任务中心化角点对偏差,工人角点对数减同任务条件中位数；正值表示相对更细分,n_pairs_worker - median_task(n_pairs)
projected_95ci_half_width,预计 95% 区间半宽,按当前 building-level 方差和独立建筑数近似投影,1.96 * sd_building / sqrt(B)
minimum_detectable_effect,约 80% 功效最小可检出效应,正态近似、双侧 alpha=.05,(z_.975+z_.80)*sd_building/sqrt(B)
active_time_candidate_seconds,活跃时间候选值,阶段表原始提供的时间值；若来源是 lead_time fallback/proxy，仅保留审计，不进入 active-time 结果,source field before proxy exclusion
active_time_measurement_class,活跃时间测量类别,formal_frozen、direct_observed_nonformal、lead_time_proxy_excluded 或 missing,classification from source and eligibility
group_response_coverage,元标签组响应覆盖率,在同一任务条件下实际出现该元标签组的响应数除以全部响应数,group_response_count / total_response_count
positive_share_among_group_responders,组内阳性选择比例,选择该标签的响应数除以明确回答该元标签组的响应数,positive_response_count / group_response_count
unasserted_response_count,未声明响应数,该任务条件的全部响应中未出现相应元标签组的数量；不视为明确否定,total_response_count - group_response_count
supported_cluster_count,受支持几何簇数量,成员数至少为 2 的几何簇数量,count_m(cluster_support_m >= 2)
singleton_cluster_count,单例几何簇数量,只有 1 名工人支持的几何簇数量,count_m(cluster_support_m == 1)
crowd_gt_relationship,人群簇与 GT 关系类别,根据簇支持量及簇内 GT IoU 描述最大簇、受支持非最大簇和单例异议的关系,descriptive rule; thresholds are displayed in table
strong_persistent_split,强持续分裂,在最大已观察支持量下至少两个受支持簇，且最大簇占比低于 80%,supported_multimodal AND largest_cluster_share < 0.8
strong_at_all_thresholds,跨阈值强分裂,在 0.90、0.925、0.95 三个几何阈值下均为强分裂,logical AND across three thresholds
observed_worker_rate_variance,工人观点比例方差,各工人在重复任务中进入某模式的比例在工人间的方差,"Var_u(mean_t indicator_{u,t})"
permutation_p_value,任务内置换 p 值,在每个 task-condition 内随机重排模式成员后，模拟得到不小于观测工人间方差的概率,(1 + extreme permutations)/(1 + permutations)
median_split_half_spearman,随机任务半分可靠性中位数,随机将 Manual 任务分两半，比较工人最大模式率的 Spearman 相关并对重复分割取中位数,"median_b Spearman(rate_u,left_b, rate_u,right_b)"
approximate_total_independent_buildings_for_80pct_power,约 80% 功效所需独立建筑总数,使用当前 building-level 效应标准差的正态近似,ceil(((z_.975+z_.80)*sd_building/effect)^2)
probability_observe_at_least_two_minority,至少观察两名少数模式的概率,真实少数模式比例 p、独立抽样 k 人时得到至少两名少数模式,1-(1-p)^k-kp(1-p)^(k-1)
negative_metric_change,指标负向变化,最终 GT/效用指标比初始值低超过 0.01；不等同于真实几何修改不合理,delta_U < -0.01
positive_metric_change,指标正向变化,最终 GT/效用指标比初始值高超过 0.01,delta_U > 0.01
near_zero_metric_change,近零指标变化,变化绝对值不超过 0.01,|delta_U| <= 0.01
semi_convergence,Semi 收敛,同图等支持量下 Semi 的 Shannon 模式熵低于 Manual,H_semi - H_manual < 0
semi_expansion,Semi 扩散,同图等支持量下 Semi 的 Shannon 模式熵高于 Manual,H_semi - H_manual > 0
delta_shannon_entropy,Semi−Manual 熵差,负值表示 Semi 分布更集中，正值表示更分散,H_semi - H_manual
acceptable_proposal_with_any_corner_edit,可接受 proposal 后仍编辑角点,工人选择 acceptable 标签但几何编辑量大于零,acceptable_tag AND edited_bool
material_edit,实质坐标/拓扑编辑,编辑量位于正编辑分布中段以上，或观察到拓扑变化,"edit_band in {moderate,large} OR topology_changed"
trivial_tag_but_low_GT_alignment,简单标签但 GT 对齐较低,选择 trivial 且 IoU<0.8或低于同任务中位数0.1以上,trivial AND (IoU<0.8 OR IoU<task_median-0.1)
orthogonal_flag_count,正交原因数量,一条记录同时命中的排除/不可计算原因数量,sum_j flag_j
cyclic_rmse_diagonal_normalized,循环对齐坐标 RMSE,两份相同拓扑全景几何经循环/反向对齐后的坐标差，除以全景对角线,min_alignment RMSE / sqrt(1024^2+512^2)
observable_geometric_difference_codes,可观察几何差异类别,最大簇与最佳 GT 对齐簇/次簇之间的墙数、顶底边、水平边界、接缝、Scope等差异,rule-based multi-label audit
crowd_gt_gap_best_minus_largest,最佳 GT 簇与最大簇差,最佳 GT 对齐簇中位 IoU减最大簇中位 IoU,max_m median(IoU_m)-median(IoU_largest)
coordinate_disagreement_band,双人坐标分歧分位带,双人任务的循环 RMSE 在全部双人任务中的三分位位置,tertiles of pair RMSE
anchor_evidence,共享锚定相容证据,低编辑率/小幅共享修正伴随 Semi 收敛；只是相容性分类，不是因果证明,rule-based descriptive class
structure_discovery_evidence,结构发现相容证据,多人编辑、指标正向变化多于负向且未扩散时标记为相容；不证明因果,descriptive rule
forced_fit_tradeoff_evidence,强制拟合/指标权衡可能性,模式收敛同时 GT/效用指标负向或负向行多于正向行,descriptive rule
U_initial,初始效用,proposal 相对冻结参考的 IoU；P1 采用普通几何，C1 采用其冻结规范化口径。初始几何无效且参考有效时记 0；参考不可用时缺失。,"IoU(proposal, frozen reference)"
U_final,最终效用,最终几何相对同一冻结参考的效用；C1 使用冻结 iou_to_gt。工人造成的无效几何且参考有效时记 0；其他不可计算情形缺失。,"IoU(final, same frozen reference)"
delta_U,效用变化,最终效用减初始效用；主描述阈值为 ±0.01，并另保留 0、0.02、0.05 敏感性网格。,U_final - U_initial
formal_assignment_status,正式分配资格状态,仅在适用阶段使用权威 formal_assignment_eligible；P1 标为 not_applicable，缺失标为 not_recorded。,eligible|ineligible|not_recorded|not_applicable
semi_pairing_status,Manual/Semi 配对状态,C1 的 Semi、同图配对 Manual 与 Manual-only 分开编码；非 C1 不适用。,design-aware categorical status
lead_time_is_active_time,Lead time 是否等于 Active time,恒为 False；Label Studio 经过时间与页面有效标注时长分开分析。,False
