task_id,base_task_id,keep,final_role,is_promoted_anchor,is_demoted_anchor_candidate,priority_flag,review_note_flag,default_eligible,scope,difficulty_tags,model_issue_tags,poly_residue_flag,recommended_role,keep_reason,drop_reason,reference_binding_status,adjudication_status,notes
559,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,True,expert_anchor,False,False,default,False,True,normal,occlusion;low_texture;seam,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
562,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,True,expert_anchor,False,False,default,False,True,normal,occlusion,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
564,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,True,expert_anchor,False,False,special_review,True,True,normal,occlusion,corner_drift,False,manual_anchor_candidate,"Retained as an expert anchor. The bracketed comment is treated as a review note rather than an automatic exclusion, and the sample is still considered stably annotatable.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,priority_annotation=较为困难
567,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,True,non_anchor,False,False,low_priority,True,False,normal,reflection,acceptable,False,manual_non_anchor_candidate,"Retained as a non-anchor because explicit low-priority samples stay in the manual pool for coverage and audit, but do not enter the expert-anchor core.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,priority_annotation=低优先
569,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,True,expert_anchor,False,False,special_review,True,True,normal,low_texture,overextend_adjacent;corner_duplicate,False,manual_anchor_candidate,"Retained as an expert anchor. The bracketed comment is treated as a review note rather than an automatic exclusion, and the sample is still considered stably annotatable.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"priority_annotation=同时是一角多点,纹理弱"
570,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,True,expert_anchor,False,False,special_review,True,True,normal,seam,corner_drift,False,manual_anchor_candidate,"Retained as an expert anchor. The bracketed comment is treated as a review note rather than an automatic exclusion, and the sample is still considered stably annotatable.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,priority_annotation=同时是角点错位
578,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,True,expert_anchor,False,False,default,False,True,normal,occlusion,acceptable,True,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,poly_residue_present_in_raw_export
614,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,True,expert_anchor,False,False,default,False,True,normal,occlusion;low_texture,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
630,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,True,expert_anchor,False,False,default,False,True,normal,trivial,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
635,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,True,non_anchor,False,False,low_priority,True,False,normal,occlusion,overextend_adjacent;corner_duplicate,False,manual_non_anchor_candidate,"Retained as a non-anchor because explicit low-priority samples stay in the manual pool for coverage and audit, but do not enter the expert-anchor core.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"priority_annotation=低优先,有歧义,尽量不考虑"
670,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,True,expert_anchor,False,False,default,False,True,normal,seam,corner_drift,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
676,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,True,non_anchor,False,False,low_priority,True,False,normal,occlusion,corner_drift,False,manual_non_anchor_candidate,"Retained as a non-anchor because explicit low-priority samples stay in the manual pool for coverage and audit, but do not enter the expert-anchor core.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"priority_annotation=低优先,太难标注了,暂时不考虑"
677,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,True,expert_anchor,False,False,special_review,True,True,normal,trivial,overextend_adjacent;corner_duplicate,False,manual_anchor_candidate,"Retained as an expert anchor. The bracketed comment is treated as a review note rather than an automatic exclusion, and the sample is still considered stably annotatable.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,priority_annotation=略微有点遮挡
687,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,True,expert_anchor,False,False,default,False,True,normal,seam,overextend_adjacent,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
696,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,True,non_anchor,False,False,low_priority,True,False,normal,seam;low_quality,corner_drift,False,manual_non_anchor_candidate,"Retained as a non-anchor because explicit low-priority samples stay in the manual pool for coverage and audit, but do not enter the expert-anchor core.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"priority_annotation=低优先,不确定,难标注 | note_files=特别注意.md | 特别注意.md: 当前这个目录仍应视为 `manual` 里的困难子集，但要区分两个样本：  - `696(低优先,不确定,难标注)`：继续按低优先处理，不进入人工锚点集 - `711(中低优先,难标注)`：当前作为保留例外，不按普通 `低优先` 自动排除；如果遮罩 family 只保留一个可操作样本，优先级是 `711 > 696`  当前最稳的理解是：  - 这两个样本都不适合直接当默认的 expert-anchor 主池 - `696` 继续保留为"
697,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,True,expert_anchor,False,False,default,False,True,normal,reflection,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
707,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,True,expert_anchor,False,False,default,False,True,normal,occlusion,corner_drift,True,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,poly_residue_present_in_raw_export
711,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,True,non_anchor,False,False,special_review,True,True,normal,occlusion;reflection,acceptable,False,manual_non_anchor_candidate,Retained as a non-anchor to preserve review-flagged coverage without using it as the expert-anchor reference core.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"priority_annotation=中低优先,难标注 | note_files=特别注意.md | 特别注意.md: 当前这个目录仍应视为 `manual` 里的困难子集，但要区分两个样本：  - `696(低优先,不确定,难标注)`：继续按低优先处理，不进入人工锚点集 - `711(中低优先,难标注)`：当前作为保留例外，不按普通 `低优先` 自动排除；如果遮罩 family 只保留一个可操作样本，优先级是 `711 > 696`  当前最稳的理解是：  - 这两个样本都不适合直接当默认的 expert-anchor 主池 - `696` 继续保留为"
714,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,True,expert_anchor,False,False,special_review,True,True,normal,occlusion,corner_drift,False,manual_anchor_candidate,"Retained as an expert anchor. The bracketed comment is treated as a review note rather than an automatic exclusion, and the sample is still considered stably annotatable.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,priority_annotation=高难度
717,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,True,expert_anchor,False,False,default,False,True,normal,occlusion;reflection,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
