base_task_id,stage,source_stage,stage_subset,condition,building_id,official_split,source_task_id,runtime_context_count,language_contexts,source_dataset_group,reference_regime,reference_record_path,reference_identity,reference_file_sha256,reference_geometry_sha256,reference_status,reference_validation_level,reference_independence_status,reference_independence_basis,submission_informed_reference_revision,reference_revision_status,geometry_reference_ready,primary_geometry_eligible,final_scope,scope_subtype,scope_resolution_status,scope_source,final_gold_source,export_snapshot,worker_scope_answer_set_version,analysis_stratum,p1_28_sensitivity_eligible,exclusion_reason
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1,C1,C1_anchor,manual,yqstnuAEVhm,test,547,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3394:4943,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,63dde7e8513039d44ab004f385ddcc9241391ac9c57a9c6a19068681a4a20671,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,C1,C1,C1_anchor,manual,yqstnuAEVhm,test,621,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3468:5017,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,65194d0594fcb1c5653ee3cb77df09f20535ed9f4681d931be1a78041b563f0d,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,P1,PreScreen,P1_manual,manual,7y3sRwLe3Va,test,630,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:630,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,9f86c1ee8a20a74819337655fbb9dc32be6507d43dd9fed407877fd8c8a6ece5,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,P1,PreScreen,P1_manual,manual,B6ByNegPMKs,test,687,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:687,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,e49d242af32e8642c6270dcb8c719edd1f97019f64f5c0330081a8fc2ed83315,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,P1,PreScreen,P1_manual,manual,B6ByNegPMKs,test,510,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:510,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,f39db16cc784168342f9252a71bbe4f2362d927f78394d8eb1941d8deb55787e,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,P1,PreScreen,P1_manual,manual,B6ByNegPMKs,test,570,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:570,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,58650f0a86b05ce1e508ec1a232f1d758fc8b97afbb9104969ea51d0d2d8fa7a,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,PreScreen,P1_manual,manual,UwV83HsGsw3,test,470,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:470,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,0b05416b13543fef8ebedc40a16567bdf5d804df110d52b455e2af6fbc202127,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,PreScreen,P1_manual,manual,UwV83HsGsw3,test,462,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:462,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,9d8d5a067ed66247523a3bb31e0ef60ca48274db9b153015131b152b166dd011,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,P1,PreScreen,P1_manual,manual,X7HyMhZNoso,test,555,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:555,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,36d599bc57d208d3d3ef6b75b2e9a0bd6e599529f0b49539f1f860a4f40818ce,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,P1,PreScreen,P1_manual,manual,b8cTxDM8gDG,test,696,2,Chinese;English,PreScreen_manual,unavailable,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:696,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,not_ready,not_validated,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,scope_contract_correction_recorded,False,False,oos,oos_insufficient,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,excluded_oos_no_geometry,False,oos_insufficient_geometry_reference_not_ready
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,P1,PreScreen,P1_manual,manual,e9zR4mvMWw7,test,559,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:559,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,f5d0ffa95c1dd5edf4e2f5271273759628155406d74f6e2605277d782b142ee1,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,P1,PreScreen,P1_manual,manual,q9vSo1VnCiC,test,556,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:556,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,fd1804e5e61bd4fd57771a8bc044c6bc304f105121e91121005eec46fabb84b9,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,P1,PreScreen,P1_manual,manual,q9vSo1VnCiC,test,676,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:676,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,72892d3261da319b32244fe2718bcbcdf76893fb52a368aa175643fdf39e4682,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,P1,PreScreen,P1_manual,manual,q9vSo1VnCiC,test,562,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:562,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,e1c5f9548284b3755f2baf8b6475d6b3eba38f19b34eea8de60eebe3d33fcee7,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,P1,PreScreen,P1_manual,manual,q9vSo1VnCiC,test,635,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:635,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,8040105bddd061ca4d95333785e7e60c5c89dcfe4302f81fdd424c35bdad77f9,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,P1,PreScreen,P1_manual,manual,rPc6DW4iMge,test,697,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:697,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,38b5143280b3c2c146bdb13c08818dc38420b6a5a0c9e28b9fa575c17fe138fc,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,P1,PreScreen,P1_manual,manual,rPc6DW4iMge,test,677,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:677,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,5cb3243dc9f456f965cd54601ab516d5df61a4dfe049dd018d0202bf55efb008,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,P1,PreScreen,P1_manual,manual,rPc6DW4iMge,test,554,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:554,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,a039cfd93af2d6b779c94ccc443d7db6c69f91331afefd9ae6aac1ad70925803,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,P1,PreScreen,P1_manual,manual,rPc6DW4iMge,test,714,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:714,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,1c14c03c7632da205314820fe0ea2333d1652240346d2c88761a742f24e766de,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,P1,PreScreen,P1_manual,manual,uNb9QFRL6hY,test,564,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:564,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,603dfbc650237c925a8b8e29d8ff5fdf4d43d41e57f9a53c6cfaa0237d342fde,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,geometry_contract_correction_recorded,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,False,
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,P1,PreScreen,P1_manual,manual,uNb9QFRL6hY,test,717,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:717,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,28fcdc5991167e52a372346947518e1dd5a12d3b63d79f1f96414c4ab5b7611e,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,P1,PreScreen,P1_manual,manual,uNb9QFRL6hY,test,711,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:711,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,9df89fe9256b2b175a8c829aafbf68dd3a881b91f8197193e7b9b3f83732373f,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,P1,PreScreen,P1_manual,manual,uNb9QFRL6hY,test,569,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:569,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,116471e596d33f45c6f4b6414a6745a8bffd737aefddd7340d0af193e0fa4a41,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,P1,PreScreen,P1_manual,manual,uNb9QFRL6hY,test,614,2,Chinese;English,PreScreen_manual,expert_hard_single,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl,task_id:614,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6,daf1ead80911c120bb7340a0c891d5c55c555d001048f6018bccbc71d4194bf8,ready,final_gold_ref_only,revision_independence_not_machine_verifiable,user_verified_project20_export; no C1-equivalent submission-informed revision field,not_machine_materialized,no_recorded_post_closeout_correction,True,True,in_scope,normal,final_adjudicated_gold,project20_scope,user_verified_project20_export,project-20-at-2026-03-27-14-57-e66c6481.json,not_materialized,P1_sensitivity,True,
